Posición,Jugador,Puntos,Record,OPW%,OOPW%,Pokémon del Deck
1,miloslav posledni,42,14 - 2 - 0,56.35%,58.52%,regidrago
2,Brent Tonisson,40,13 - 2 - 1,62.85%,62.10%,regidrago
3,ILYA KORNILOV,37,12 - 2 - 1,70.14%,60.03%,gholdengo
4,Daniel Magda,37,12 - 2 - 1,66.49%,62.08%,regidrago
5,Jackson Ford,34,11 - 2 - 1,69.27%,63.31%,"charizard, pidgeot"
6,Rose Gregson,33,11 - 3 - 0,67.53%,61.05%,gardevoir
7,Austin Ellis,33,11 - 3 - 0,63.37%,61.51%,"terapagos, noctowl"
8,Raz Wolpe,33,11 - 3 - 0,56.15%,56.17%,regidrago
9,Julius Brunfeldt,30,10 - 3 - 0,65.80%,60.29%,regidrago
10,Rafael Yuiti,30,10 - 3 - 0,63.54%,61.17%,"charizard, noctowl"
11,Leonardo Walbrinch,30,10 - 3 - 0,63.19%,63.93%,iron-thorns
1,miloslav posledni,42,14 - 2 - 0,56.35%,58.52%,regidrago
2,Brent Tonisson,40,13 - 2 - 1,62.85%,62.10%,regidrago
3,ILYA KORNILOV,37,12 - 2 - 1,70.14%,60.03%,gholdengo
4,Daniel Magda,37,12 - 2 - 1,66.49%,62.08%,regidrago
5,Jackson Ford,34,11 - 2 - 1,69.27%,63.31%,"charizard, pidgeot"
6,Rose Gregson,33,11 - 3 - 0,67.53%,61.05%,gardevoir
7,Austin Ellis,33,11 - 3 - 0,63.37%,61.51%,"terapagos, noctowl"
8,Raz Wolpe,33,11 - 3 - 0,56.15%,56.17%,regidrago
9,Julius Brunfeldt,30,10 - 3 - 0,65.80%,60.29%,regidrago
10,Rafael Yuiti,30,10 - 3 - 0,63.54%,61.17%,"charizard, noctowl"
11,Leonardo Walbrinch,30,10 - 3 - 0,63.19%,63.93%,iron-thorns
12,Rune Heiremans,29,9 - 1 - 2,64.58%,59.72%,regidrago
13,Damian Gabriel Riquel,29,9 - 1 - 2,63.37%,65.48%,"klawf, brute-bonnet"
14,Andres Lostaunau,29,9 - 1 - 2,62.50%,60.09%,roaring-moon
15,Carlos Sepúlveda,29,9 - 1 - 2,61.81%,59.71%,"charizard, pidgeot"
16,Vitor Lugon Cacciari Martinelli,29,9 - 1 - 2,61.63%,60.49%,"charizard, pidgeot"
17,Isaiah Bradner,28,9 - 2 - 1,69.62%,61.22%,"terapagos, noctowl"
18,Fabrizio Inga Silva,28,9 - 2 - 1,68.40%,63.19%,"comfey, cramorant"
19,Gabriel Smart,28,8 - 0 - 4,67.40%,62.00%,"terapagos, noctowl"
20,Henry Chao,28,9 - 2 - 1,66.15%,60.89%,gardevoir
21,Otavio Gouveia,28,8 - 0 - 4,61.38%,60.97%,regidrago
22,Christian Fontenot,28,9 - 2 - 1,59.38%,58.74%,"mimikyu, ogerpon-cornerstone"
23,Jesus Rodriguez,27,9 - 3 - 0,68.75%,62.19%,regidrago
24,Pedro Pertusi,27,8 - 1 - 3,65.45%,62.45%,"charizard, noctowl"
25,Alex Schemanske,27,9 - 3 - 0,65.28%,58.82%,"mimikyu, ogerpon-cornerstone"
26,Benny Billinger,27,9 - 3 - 0,65.10%,60.40%,gardevoir
27,Jose Zelaya,27,9 - 3 - 0,64.93%,61.18%,gouging-fire
28,Matthew Burris,27,9 - 3 - 0,64.71%,61.48%,regidrago
29,Nathian Beck,27,9 - 3 - 0,64.41%,59.93%,"raging-bolt, ogerpon"
30,Eder Jarillo,27,9 - 3 - 0,64.37%,62.43%,"lugia, archeops"
31,Felipe Solís,27,8 - 1 - 3,63.72%,59.37%,"dragapult, dusknoir"
32,Tim Franklin,27,8 - 1 - 3,63.22%,59.48%,"terapagos, noctowl"
33,Alberto Conti,27,9 - 3 - 0,63.19%,57.55%,regidrago
34,Ryan Antonucci,27,9 - 3 - 0,63.19%,54.69%,"charizard, pidgeot"
35,Bruno Barros,27,9 - 3 - 0,62.33%,60.12%,"dragapult, dusknoir"
36,Hermanni Hietalahti,27,9 - 3 - 0,62.15%,58.87%,"terapagos, noctowl"
37,Caitlin White,27,9 - 3 - 0,60.80%,60.57%,regidrago
38,Esteban O’Compley,27,8 - 1 - 3,60.49%,65.20%,"lugia, archeops"
39,Giovanny Sasso,27,9 - 3 - 0,59.33%,60.57%,"klawf, brute-bonnet"
40,Sebastià Casas Mendonça,27,9 - 3 - 0,58.68%,57.01%,dragapult
41,Shun Takahashi,27,9 - 3 - 0,58.33%,56.52%,regidrago
42,andrea Zorat,27,9 - 3 - 0,57.18%,58.63%,"terapagos, noctowl"
43,Matias Matricardi,26,8 - 2 - 2,67.88%,61.34%,snorlax
44,Dyego Rathje,26,8 - 2 - 2,67.71%,61.61%,"palkia-origin, dusknoir"
45,Vincent Fatunz,26,8 - 2 - 2,66.49%,58.35%,"charizard, pidgeot"
46,Eduardo Romanelli,26,8 - 2 - 2,65.80%,59.09%,"lugia, archeops"
47,Jamie Hindley,26,8 - 2 - 2,65.63%,58.70%,gardevoir
48,Alessandro Cremascoli,26,8 - 2 - 2,63.72%,59.65%,"mimikyu, ogerpon-cornerstone"
49,Adriano Kanazawa,26,8 - 2 - 2,63.54%,58.76%,"raging-bolt, ogerpon"
50,Aaron Walker,26,8 - 2 - 2,63.54%,57.07%,iron-thorns
51,Simon Trottier-Lacasse,26,8 - 2 - 2,62.67%,60.63%,regidrago
52,Diego Cassiraga,26,7 - 0 - 5,62.50%,57.82%,regidrago
53,Lucas Magalhães,26,8 - 2 - 2,61.46%,61.90%,"charizard, pidgeot"
54,Luis Martínez,26,8 - 2 - 2,61.21%,57.52%,"banette, gardevoir"
55,Daniel Powell,26,8 - 2 - 2,60.07%,60.26%,"comfey, cramorant"
56,Simone Canziani,26,7 - 0 - 5,59.97%,54.89%,"terapagos, noctowl"
57,Pedro Henrique Alves,26,7 - 0 - 5,59.93%,57.58%,"dragapult, dusknoir"
58,Caleb Rogerson,26,8 - 2 - 2,59.55%,62.35%,"palkia-origin, noctowl"
59,Francisco Osorio,26,8 - 2 - 2,59.40%,60.09%,regidrago
60,Brennan Kamerman,26,8 - 2 - 2,59.38%,58.70%,"comfey, cramorant"
61,Nerses Fatunz,26,8 - 2 - 2,58.95%,60.03%,snorlax
62,Santiago Iván Rossi,25,8 - 3 - 1,65.28%,57.73%,"lugia, archeops"
63,Okada Ryuki,25,8 - 3 - 1,65.10%,60.63%,"terapagos, noctowl"
64,Grant Manley,25,8 - 3 - 1,64.24%,58.80%,"charizard, pidgeot"
65,Kaiwen Cabbabe,25,8 - 3 - 1,63.37%,58.21%,regidrago
66,andres estefano gajardo lopehandia,25,8 - 3 - 1,63.02%,58.24%,"raging-bolt, ogerpon"
67,André Porto,25,8 - 3 - 1,61.63%,61.02%,"raging-bolt, ogerpon"
68,blake wray,25,8 - 3 - 1,61.28%,58.81%,"palkia-origin, dusknoir"
69,Solomon Shurge,25,8 - 3 - 1,60.24%,58.11%,miraidon
70,Gabriel Chighini,25,8 - 3 - 1,59.55%,58.16%,"lugia, archeops"
71,Stéphane Ivanoff,25,8 - 3 - 1,57.32%,58.61%,gardevoir
72,Diego Silva,25,8 - 3 - 1,56.60%,57.25%,"raging-bolt, ogerpon"
73,Steven Hamula,25,8 - 3 - 1,56.45%,60.47%,"terapagos, noctowl"
74,João Requena,24,8 - 4 - 0,68.75%,62.14%,"klawf, brute-bonnet"
75,Calvin Connor,24,8 - 4 - 0,67.53%,57.46%,"terapagos, noctowl"
76,William Azevedo,24,8 - 4 - 0,65.97%,56.98%,"charizard, noctowl"
77,Jay Cristiano,24,7 - 2 - 3,65.10%,66.20%,"ogerpon-cornerstone, noivern"
78,Konsta Kallama,24,8 - 4 - 0,64.76%,57.19%,"lugia, archeops"
79,Austin Lee,24,8 - 4 - 0,64.24%,58.16%,gholdengo
80,Yoann Barszezak,24,8 - 4 - 0,63.72%,60.35%,regidrago
81,Vinícius fernandez,24,8 - 4 - 0,63.02%,60.98%,"banette, gardevoir"
82,Joshua Salverredy,24,8 - 4 - 0,61.63%,53.90%,"terapagos, noctowl"
83,Magnus Pedersen,24,7 - 2 - 3,61.46%,60.28%,"banette, gardevoir"
84,Alex Oliveira,24,7 - 2 - 3,61.11%,57.63%,"roaring-moon, flutter-mane"
85,Rahul Reddy,24,8 - 4 - 0,60.94%,59.72%,"lugia, archeops"
86,Cerys Jones,24,8 - 4 - 0,60.54%,58.76%,gardevoir
87,Owyn Kamerman,24,8 - 4 - 0,60.42%,58.23%,"palkia-origin, noctowl"
88,Simon Gajardo,24,8 - 4 - 0,60.24%,57.82%,"dragapult, dusknoir"
89,Carlos Gomes,24,7 - 2 - 3,59.72%,59.45%,snorlax
90,Isaac Alexander Martinez Mendoza,24,7 - 2 - 3,59.38%,60.02%,"lugia, archeops"
91,Bruno Oswaldo Bertozzi Oliveira,24,8 - 4 - 0,59.33%,59.18%,snorlax
92,Xander Pero,24,8 - 4 - 0,58.85%,59.84%,"raging-bolt, ogerpon"
93,Lucas Xing,24,8 - 4 - 0,58.68%,59.46%,"comfey, cramorant"
94,Jorge Salas,24,8 - 4 - 0,58.51%,60.32%,"terapagos, noctowl"
95,Aaron Freetos Friedman,24,8 - 4 - 0,57.64%,58.89%,"raging-bolt, ogerpon"
96,Leandro Fernandes,24,8 - 4 - 0,57.64%,56.40%,"charizard, noctowl"
97,Marco Cifuentes,24,8 - 4 - 0,55.38%,58.19%,"comfey, cramorant"
98,Kim Pobega,24,8 - 4 - 0,53.30%,55.71%,"terapagos, noctowl"
99,Victor Carreira Rodrigues,23,7 - 3 - 2,67.88%,61.84%,"palkia-origin, dusknoir"
100,Claudio Diaz,23,6 - 1 - 5,67.88%,59.50%,"raging-bolt, ogerpon"
101,Nico Gist,23,7 - 3 - 2,65.63%,59.95%,"terapagos, noctowl"
102,Angel Aranibar Huamaní,23,7 - 3 - 2,64.24%,57.24%,gardevoir
103,João Paulo Sênida,23,7 - 3 - 2,63.02%,60.08%,"charizard, pidgeot"
104,Tulio Freitas,23,7 - 3 - 2,62.67%,58.40%,snorlax
105,Jefferson Bandeira da Silva,23,7 - 3 - 2,58.68%,58.72%,"terapagos, noctowl"
106,Vignesh Krishnan,23,6 - 1 - 5,58.33%,58.47%,"charizard, pidgeot"
107,Ricardo Pereira Celebroni,23,7 - 3 - 2,58.16%,57.87%,"raging-bolt, ogerpon"
108,Hector Adrian Pio Robles Sánchez,23,7 - 3 - 2,57.64%,61.67%,"klawf, brute-bonnet"
109,Natalio Resa,23,7 - 3 - 2,57.21%,57.03%,regidrago
110,Diego Sakata,23,7 - 3 - 2,53.15%,56.08%,"dragapult, comfey"
111,Joaquin Herrero,23,7 - 3 - 2,52.28%,61.67%,"terapagos, noctowl"
112,Daniel Furucho,22,7 - 4 - 1,66.52%,59.56%,"raging-bolt, ogerpon"
113,Laura Braga,22,7 - 4 - 1,65.10%,57.80%,regidrago
114,Ricardo Manuel Gajardo Laubrin,22,7 - 4 - 1,64.06%,61.62%,"palkia-origin, dusknoir"
115,James Cox,22,7 - 4 - 1,63.89%,59.01%,regidrago
116,Thales Tadashi Argelo,22,6 - 2 - 4,63.89%,57.82%,"palkia-origin, noctowl"
117,Tim Vince,22,7 - 4 - 1,62.88%,58.48%,"palkia-origin, noctowl"
118,Michael Davidson,22,7 - 4 - 1,61.56%,60.73%,"palkia-origin, noctowl"
119,Gabriel Pino Semedo,22,7 - 4 - 1,61.04%,58.18%,regidrago
120,Enzo Vetorazzo,22,7 - 4 - 1,60.52%,57.95%,gardevoir
121,Jose Santos,22,7 - 4 - 1,60.14%,58.80%,"comfey, cramorant"
122,Rafael Breanza,22,7 - 4 - 1,59.72%,57.67%,"lugia, archeops"
123,Pedro Lacerda,22,7 - 4 - 1,59.47%,58.06%,"charizard, pidgeot"
124,Andrew Weiss,22,6 - 2 - 4,58.90%,58.97%,"raging-bolt, ogerpon"
125,Edwyn Mesman,22,7 - 4 - 1,57.81%,57.40%,"terapagos, noctowl"
126,Cristian Perez Nieves,22,7 - 4 - 1,57.64%,58.39%,gardevoir
127,Gustavo Galbes Bassanezi,22,7 - 4 - 1,57.53%,55.72%,"charizard, pidgeot"
128,Cory Tangman,22,7 - 4 - 1,56.60%,56.11%,"raging-bolt, ogerpon"
129,Renzo Zambrano,22,7 - 4 - 1,56.60%,55.12%,"charizard, pidgeot"
130,Ulises Pereira,22,7 - 4 - 1,55.56%,57.85%,"raging-bolt, ogerpon"
131,Sebastian Arias,22,6 - 2 - 4,55.21%,56.64%,"lugia, archeops"
